research_order,listed_affiliation,research_group,public_profiles_with_label,all_profiles_with_label,status,scope_reviewed,next_step
26,Black Panther Party,Black Panther Party,230,230,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
27,Black Panther Party support campaigns,Black Panther Party support campaigns,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
28,Black Power movement,Black Power movement,3,3,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
29,Boston 8,Boston 8,2,2,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
30,Boston Five,Boston Five,4,4,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
31,Boston Guardian,Boston Guardian,2,2,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
32,Boston Three,Boston Three,3,3,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
33,Boston Vigilance Committee,Boston Vigilance Committee,9,9,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
34,Brookwood Labor College,Brookwood Labor College,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
35,Cadets of the Republic,Cadets of the Republic,5,5,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
36,Camden 28,Camden 28,28,28,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
37,Camp Pendleton 14,Camp Pendleton 14,9,9,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
38,Catholic Interracial Council,Catholic Interracial Council,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
39,Catholic Left,Catholic Left,51,51,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
40,Catholic Worker,Catholic Worker,66,66,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
41,Charlotte Three,Charlotte Three,4,4,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
42,Chicago 15,Chicago 15,15,15,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
43,Civil Rights Congress,Civil Rights Congress,5,5,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
44,Cleveland 4,Cleveland 4,5,5,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
45,Communist Party of Puerto Rico,Communist Party of Puerto Rico,11,11,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
46,Communist Party of the Philippines,Communist Party of the Philippines,3,3,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
47,Communist Party USA,Communist Party USA,522,522,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
48,Communist Workers Party,Communist Workers Party,6,6,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
49,Congress of Industrial Organizations,Congress of Industrial Organizations,2,2,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
50,Congress of Racial Equality (CORE),Congress of Racial Equality (CORE),22,22,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
51,Coxey's Army,Coxey's Army,3,3,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
52,Cuban Five,Cuban Five,5,5,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
53,Daily Worker,Daily Worker,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
54,DC Nine,DC Nine,9,9,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
55,De Mau Mau,De Mau Mau,5,5,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
56,December 12th Movement,December 12th Movement,4,4,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
57,Defend the Atlanta Forest,Defend the Atlanta Forest,70,70,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
58,Direct Action Everywhere (DxE),Direct Action Everywhere (DxE),3,3,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
59,Earth First!,Earth First!,5,5,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
60,Earth Liberation Front,Earth Liberation Front,44,44,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
61,Elaine Massacre,Elaine Massacre,35,35,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
62,Elaine Twelve,Elaine Twelve,12,12,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
63,Emma Lazarus Federation of Jewish Women's Clubs,Emma Lazarus Federation of Jewish Women's Clubs,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
64,FALN,FALN (Fuerzas Armadas de Liberación Nacional),1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
64,FALN (Fuerzas Armadas de Liberación Nacional),FALN (Fuerzas Armadas de Liberación Nacional),25,25,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
65,FARC,FARC,31,31,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
66,Farmers and Laborers Protective Association,Farmers and Laborers Protective Association,2,2,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
67,Finnish America Mutual Aid Society,Finnish America Mutual Aid Society,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
68,Flower City Conspiracy,Flower City Conspiracy,7,7,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
69,Fort Hood Three,Fort Hood Three,3,3,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
70,Fort Worth Five,Fort Worth Five,5,5,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
71,Fred Hampton Unit of the People's Forces,Fred Hampton Unit of the People's Forces,4,4,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
72,Free Speech Movement,Free Speech Movement,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
73,Fries's Rebellion,Fries's Rebellion,6,6,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
74,Gainesville Eight,Gainesville Eight,8,8,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
75,GEO9,GEO9,8,8,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
76,Greenpeace,Greenpeace,23,23,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
77,Groveland Four,Groveland Four,3,3,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
78,Harlem Six,Harlem Six,6,6,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
79,Hollywood Ten,Hollywood Ten,10,10,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
80,Holy Land Foundation,Holy Land Foundation,9,9,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
81,Housing Works,Housing Works,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
82,Industrial Workers of the World (IWW),Industrial Workers of the World (IWW),597,597,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
83,Inmates for Action,Inmates for Action,21,21,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
84,International Ladies Garment Workers Union (Local 25),International Ladies Garment Workers Union (Local 25),1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
85,International Workers Order,International Workers Order,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
86,Iraq Veterans Against the War,Iraq Veterans Against the War,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
87,Irish Republican Army,Irish Republican Army,28,28,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
88,Jane's Revenge,Jane's Revenge,4,4,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
89,John Brown Anti-Klan Committee,John Brown Anti-Klan Committee,2,2,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
90,Joint Anti-Fascist Refugee Committee,Joint Anti-Fascist Refugee Committee,14,14,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
91,Junta de Amigos,Junta de Amigos,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
92,Katipunan,Katipunan,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
93,Kings Bay Plowshares 7,Kings Bay Plowshares 7,7,7,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
94,Lexington Six,Lexington Six,6,6,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
95,Lieberman Five,Lieberman Five,4,4,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
96,Martinsville Seven,Martinsville Seven,7,7,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
97,May 19th Communist Organization,May 19th Communist Organization,8,8,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
98,Menominee Warrior Society,Menominee Warrior Society,5,5,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
99,Merrimack Four,Merrimack Four,4,4,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
100,Michigan Coalition Against Tar Sands,Michigan Coalition Against Tar Sands,3,3,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
101,Milwaukee 14,Milwaukee 14,14,14,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
102,Minnesota Eight,Minnesota Eight,8,8,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
103,Mississippi Freedom Democratic Party,Mississippi Freedom Democratic Party,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
104,Molly Maguires,Molly Maguires,19,19,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
105,MOVE,MOVE,14,14,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
106,MOVE 9,MOVE 9,9,9,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
107,NAACP,NAACP,38,38,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
108,Nation of Islam,Nation of Islam,3,3,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
109,National Committee to Combat Fascism,National Committee to Combat Fascism,27,27,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
110,National Miners Union,National Miners Union,115,115,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
111,National Textile Workers Union,National Textile Workers Union,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
112,National Woman's Party,National Woman's Party,169,169,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
113,NATO 3,NATO 3,3,3,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
114,New Afrikan Black Panther Party,New Afrikan Black Panther Party,2,2,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
115,New Black Panther Party,New Black Panther Party,2,2,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
116,New Communities,New Communities,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
117,New Years Gang,New Years Gang,4,4,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
118,New York 3,New York 3,3,3,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
119,New York 8+,New York 8+,9,9,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
120,NoDAPL,NoDAPL,3,3,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
121,Northumberland 2,Northumberland 2,2,2,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
122,Occupy Movement,Occupy Movement,20,20,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
123,Ohio 7,Ohio 7,8,8,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
124,Palestine Action US,Palestine Action US,5,5,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
125,Panther 21,Panther 21,20,20,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
126,Partido Liberal Mexicano,Partido Liberal Mexicano,11,11,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
127,Peace Brigades International,Peace Brigades International,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
128,Peacemakers,Peacemakers,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
129,Plowshares Movement,Plowshares Movement,112,112,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
130,Prairie Fire Organizing Committee,Prairie Fire Organizing Committee,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
131,Prairieland Defendants,Prairieland Defendants,19,19,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
132,Presidio 27,Presidio 27,22,22,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
133,Progressive Farmers and Household Union of America,Progressive Farmers and Household Union of America,46,46,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
134,Progressive Labor Party,Progressive Labor Party,2,2,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
135,Progressive Women's Councils,Progressive Women's Councils,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
136,Proposition One,Proposition One,2,2,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
137,Puerto Rican Nationalist Party,Puerto Rican Nationalist Party,32,32,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
138,Queens 2,Queens 2,2,2,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
139,Realm of Ch@os,Realm of Ch@os,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
140,Religious Society of Friends,Religious Society of Friends,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
141,Republic of New Afrika,Republic of New Afrika,33,33,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
142,Republic of New Libya,Republic of New Libya,4,4,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
143,Restored Israel of YAHWEH,Restored Israel of YAHWEH,3,3,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
144,Revolutionary Committee,Revolutionary Committee,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
145,Revolutionary Communist Party,Revolutionary Communist Party,3,3,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
146,Rise Up 4 Abortion Rights,Rise Up 4 Abortion Rights,6,6,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
147,RNC 8,RNC 8,2,2,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
148,San Francisco 8,San Francisco 8,8,8,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
149,San Patricio Battalion,San Patricio Battalion,4,4,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
150,San Quentin Six,San Quentin Six,6,6,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
151,Sanctuary Movement,Sanctuary Movement,5,5,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
152,School of the Americas Watch (SOA Watch),School of the Americas Watch (SOA Watch),158,158,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
153,Schumacher Center for a New Economics,Schumacher Center for a New Economics,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
154,Service Employees International Union (SEIU),Service Employees International Union (SEIU),1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
155,SHAC 7,SHAC 7,6,6,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
156,Silent Sentinels,Silent Sentinels,169,169,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
157,Silver Spring Three,Silver Spring Three,3,3,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
158,Sleepy Lagoon Defense Committee (defense),Sleepy Lagoon Defense Committee (defense),6,6,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
159,Socialist Labor Party,Socialist Labor Party,2,2,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
160,Socialist Party of America,Socialist Party of America,107,107,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
161,Socialist Workers Party,Socialist Workers Party,18,18,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
162,Soledad Brothers,Soledad Brothers,3,3,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
163,Southern Christian Leadership Conference,Southern Christian Leadership Conference,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
163,Southern Christian Leadership Conference (SCLC),Southern Christian Leadership Conference,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
164,Southern Echo,Southern Echo,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
165,Standing Rock 6,Standing Rock 6,5,5,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
166,Student Council on Civil Rights,Student Council on Civil Rights,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
167,Student Nonviolent Coordinating Committee,Student Nonviolent Coordinating Committee,26,26,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
167,Student Nonviolent Coordinating Committee (SNCC),Student Nonviolent Coordinating Committee,11,11,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
168,Students for a Democratic Society,Students for a Democratic Society,25,25,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
169,Survival of American Indians Association,Survival of American Indians Association,8,8,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
170,Symbionese Liberation Army,Symbionese Liberation Army,9,9,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
171,Tamil Eelam,Tamil Eelam,6,6,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
172,Trade Union Unity League,Trade Union Unity League,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
173,Trenton Six,Trenton Six,6,6,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
174,Trident Ploughshares,Trident Ploughshares,23,23,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
175,Turtle Island Liberation Front,Turtle Island Liberation Front,5,5,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
176,Underground Railroad,Underground Railroad,26,26,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
177,Unemployed Councils,Unemployed Councils,64,64,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
178,Union of Russian Workers,Union of Russian Workers,319,319,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
179,Union Square Five,Union Square Five,2,2,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
180,"Union Theological Seminary (""Union Eight"")","Union Theological Seminary (""Union Eight"")",6,6,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
181,United Council of Working-Class Women,United Council of Working-Class Women,1,1,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
182,United Electrical Workers (UE),United Electrical Workers (UE),20,20,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
